candidate,case_key,source_run,group_size,group_match,candidate_status,source_text_kind,pass1_blocks_present,pass1_blocks_absent,ghost_answers,ghost_answers_with_value,false_absent
deepseek-v4-flash-nothink,36:7:36-7-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:7:36-7-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:7:36-7-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:7:36-7-0,36,4,False,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:7:36-7-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:244:36-244-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:244:36-244-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:244:36-244-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:244:36-244-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:244:36-244-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:370:36-370-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:370:36-370-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:370:36-370-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:370:36-370-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:370:36-370-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:402:36-402-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:402:36-402-0,36,4,False,complete,abstract,3,1,0,0,0
gemma4-31b,36:402:36-402-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:402:36-402-0,36,4,False,complete,abstract,3,1,0,0,2
qwen3.5-397b,36:402:36-402-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:450:36-450-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:450:36-450-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:450:36-450-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:450:36-450-0,36,4,False,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:450:36-450-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:505:36-505-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:505:36-505-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:505:36-505-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:505:36-505-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:505:36-505-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:589:36-589-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:589:36-589-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:589:36-589-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:589:36-589-0,36,4,True,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:589:36-589-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:606:36-606-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:606:36-606-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:606:36-606-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:606:36-606-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:606:36-606-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:608:36-608-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-mini,36:608:36-608-0,36,4,True,complete,abstract,3,1,0,0,0
gemma4-31b,36:608:36-608-0,36,4,True,complete,abstract,3,1,0,0,0
gpt-5-nano,36:608:36-608-0,36,4,False,complete,abstract,3,1,0,0,0
qwen3.5-397b,36:608:36-608-0,36,4,True,complete,abstract,3,1,0,0,0
deepseek-v4-flash-nothink,36:634:36-634-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:634:36-634-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:634:36-634-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:634:36-634-0,36,4,True,complete,abstract,4,0,0,0,0
qwen3.5-397b,36:634:36-634-0,36,4,True,complete,abstract,4,0,0,0,0
deepseek-v4-flash-nothink,36:705:36-705-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-mini,36:705:36-705-0,36,4,True,complete,abstract,4,0,0,0,0
gemma4-31b,36:705:36-705-0,36,4,True,complete,abstract,4,0,0,0,0
gpt-5-nano,36:705:36-705-0,36,4,True,complete,abstract,4,0,0,0,0
